Key,Source,Context,Changes,English,French,German,Klingon,Spanish
powerBookSteam,"","","","Performance-based Fire Systems Engineering Handbook","","","",""
powerBookGas,"","","","Natural Gas Energy - The Truth about Renewable Energy Book","","","",""
powerBookElectricity,"","","","Electric Energy Systems: Analysis and Operation","","","",""
trapsBookHunting,"","","","The Trapper's Bible: Traps, Snares & Pathguards","","","",""
trapsBookPowered,"","","","Unconventional Warfare Devices and Techniques. Using Steam and Gas for traps.","","","",""
doorBook,"","","","Building Doors & Gates: Instructions, Techniques, and Over 100 Designs (or 2)","","","",""
moonshineDesc,"","","","This home-made gas powered distillery allows to to complete distillation processes much more efficiently then using a common campfire.","","","",""
latheDesc,"","","","This electrical machine allows you to work strong metals, in ways otherwise impossible.","","","",""
millDesc,"","","","This heat powered machine allows you to craft advanced armoury.","","","",""
boilerDesc,"","","","A furnace, used to produce heat power. Connect it to you machines using heatline pipes.","","","",""
gastankDesc,"","","","A gas tank, used to store and distribute gas (gastanks). Connect it to you machines using gazline pipes.","","","",""
digesterDesc,"","","","A home-made Biogas digester. Just put turd, plant fibers and emptygastanks inside and wait.","","","",""
dieselGen,"","","","Diesel Generator","","","",""
dieselGenDesc,"","","","A diesel generator. Put gasoline inside to make it work. You can turn it on / off","","","",""
knifeSwithc,"","","","Knife Switch","","","",""
knifeSwithcDesc,"","","","Knife Switch. It can turn off its entire electrical cable branch.","","","",""
powerBox,"","","","Fuse box","","","",""
powerBoxDesc,"","","","A fuse box. It can turn off its entire electrical cable branch.","","","",""
heatlineValveDesc,"","","","A heat valve. It can turn off its entire heat pipeline branch.","","","",""
gaslineValveDesc,"","","","A gas valve. It can turn off its entire gas pipeline branch.","","","",""
trapnailDesc,"","","","This ingeneous trap can be deadly.","","","",""
trapbearDesc,"","","","A bear trap. It can be baited with raw meat to attract animals.","","","",""
Campfire1,"","","","Animated Camp Fire","","","",""
Spawner,"","","","Spawner","","","",""
SpawnerDesc,"","","","Demonstration Spawner","","","",""
trapfireDesc,"","","","A triggered fire trap! Connect it to you gas pipe line","","","",""
trapspikeDesc,"","","","A triggered spike trap! Connect it to you heat pipe line","","","",""
cane,"","","","Bamboo Cane","","","",""
caneDesc,"","","","Bamboo Fishing Cane. What? Better then nothing, right?","","","",""
earthworm,"","","","Earthworms","","","",""
earthwormDesc,"","","","Yuck... Yep it's earthworms...","","","",""
bass,"","","","Black Bass","","","",""
bassDesc,"","","","Trimly shaped, active, gamy fishes of both fresh and salt water.","","","",""
bigBass,"","","","Big Black Bass","","","",""
bigBassDesc,"","","","Trimly shaped, active, gamy fishes of both fresh and salt water. This one is a big bastard!","","","",""
salmon,"","","","Salmon","","","",""
salmonDesc,"","","","This fishes are born in fresh water, migrate to the ocean, then return to fresh water to reproduce.","","","",""
bigSalmon,"","","","Big Salmon","","","",""
bigSalmonDesc,"","","","This fishes are born in fresh water, migrate to the ocean, then return to fresh water to reproduce. This one is a beast fish!","","","",""
fish,"","","","Fish","","","",""
fishDesc,"","","","Common fish","","","",""
bigFish,"","","","Big Fish","","","",""
bigFishDesc,"","","","A big fish","","","",""
bassMeat,"","","","Bass Fillet","","","",""
bassMeatDesc,"","","","Big bass fillets. Look tasty and healthy","","","",""
salmonMeat,"","","","Salmon Fillet","","","",""
salmonMeatDesc,"","","","Salmon is considered to be healthy due to the fish's high protein, high omega-3 fatty acids, and high vitamin D[85] content.","","","",""
fishFillet,"","","","Fish Fillet","","","",""
fishFilletDesc,"","","","The flesh of a fish which has been cut or sliced away from the bone by cutting lengthwise along one side of the fish parallel to the backbone. Yep, I know my knifes!","","","",""
grilledBass,"","","","Grilled Bass","","","",""
grilledBassDesc,"","","","Grilled Bass Fillets","","","",""
grilledSalmon,"","","","Grilled Salmon","","","",""
grilledSalmonDesc,"","","","Grilled Salmon Fillets. Nham!","","","",""
grilledFish,"","","","Grilled Fish","","","",""
grilledFishDesc,"","","","Grilled Fish Fillets","","","",""
plantedBamboo3Harvest,"","","","Bamboo Clamp","","","",""
plantedBamboo3HarvestDesc,"","","","A clamp of bamboo","","","",""
lureFish,"","","","You threw a lure to the water","","","",""
fishingLure1,"","","","Fishing Lure","","","",""
fishingLure1Desc,"","","","A fishing lure made with molded bread and water","","","",""
fishingLure2,"","","","Fishing Lure","","","",""
fishingLure2Desc,"","","","A fishing lure made with molded bread, corn and water","","","",""
fishingLure3,"","","","Fishing Lure","","","",""
